#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
1,"3/14/2026 2:42:01.537 PM",,,,,,,,,,,"Recording was started, Host=DESKTOP-ACVLRE6, Connection=TSY KNX IP Route, Mode=LinkLayer",
2,"3/14/2026 2:42:06.428 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,DeviceDescriptor_Read,,"DescriptorType=0",LL_ACK
3,"3/14/2026 2:42:06.450 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,DeviceDescriptor_Response,,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
4,"3/14/2026 2:42:06.510 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
5,"3/14/2026 2:42:06.547 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
6,"3/14/2026 2:42:06.669 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Sec,,"SyncReq, SourceSeqNr=258354670803",LL_ACK
7,"3/14/2026 2:42:06.754 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,Sec,,"SyncRes, SourceSeqNr=18050, TargetSeqNr=258354670803",LL_ACK
8,"3/14/2026 2:42:06.841 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=11, Count=1, StartIndex=1",LL_ACK
9,"3/14/2026 2:42:06.925 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=11, Count=1, StartIndex=1, Data=00 85 56 04 01 2D",LL_ACK
10,"3/14/2026 2:42:06.987 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,DeviceDescriptor_Read,,"DescriptorType=0",LL_ACK
11,"3/14/2026 2:42:07.015 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,DeviceDescriptor_Response,,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
12,"3/14/2026 2:42:07.062 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
13,"3/14/2026 2:42:07.099 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
14,"3/14/2026 2:42:07.215 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Sec,,"SyncReq, SourceSeqNr=258354670804",LL_ACK
15,"3/14/2026 2:42:10.232 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Sec,,"SyncReq, SourceSeqNr=258354670804",LL_ACK
16,"3/14/2026 2:42:10.324 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,Sec,,"SyncRes, SourceSeqNr=18051, TargetSeqNr=258354670804",LL_ACK
17,"3/14/2026 2:42:10.411 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,FunctionPropertyExtState_Read,,"ObjectType=17, Instance=1, PropertyId=51, Command=00 00",LL_ACK
18,"3/14/2026 2:42:10.494 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,FunctionPropertyExtState_Response,,"ObjectType=17, Instance=1, PropertyId=51, ReturnCode=0",LL_ACK
19,"3/14/2026 2:42:11.774 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_Connect,,"",LL_ACK
20,"3/14/2026 2:42:11.823 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,DeviceDescriptor_Read (S=0),,"DescriptorType=0",LL_ACK
21,"3/14/2026 2:42:11.834 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=0),,"",LL_ACK
22,"3/14/2026 2:42:11.866 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,DeviceDescriptor_Response (S=0),,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
23,"3/14/2026 2:42:11.896 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=0),,"",LL_ACK
24,"3/14/2026 2:42:11.941 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read (S=1),,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
25,"3/14/2026 2:42:11.960 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=1),,"",LL_ACK
26,"3/14/2026 2:42:12.001 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=1),,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
27,"3/14/2026 2:42:12.027 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=1),,"",LL_ACK
28,"3/14/2026 2:42:12.110 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Sec (S=2),,"SyncReq, SourceSeqNr=258354670805",LL_ACK
29,"3/14/2026 2:42:12.132 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=2),,"",LL_ACK
30,"3/14/2026 2:42:12.215 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,Sec (S=2),,"SyncRes, SourceSeqNr=18052, TargetSeqNr=258354670805",LL_ACK
31,"3/14/2026 2:42:12.244 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=2),,"",LL_ACK
32,"3/14/2026 2:42:12.348 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Authorize_Request (S=3),,"00 FF FF FF FF",LL_ACK
33,"3/14/2026 2:42:12.371 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=3),,"",LL_ACK
